interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;measure_1;0;0.12;0;3;511552926#12;0;0;0.12;3;0.06;12.70;38.10;7.49;5.20;11.99;0.00
0.00;3600.00;measure_1;1;0.21;1;4;511552926#13;0;0;0.21;4;0.10;7.77;38.14;7.03;6.31;7.09;0.00
0.00;3600.00;measure_1;0;;0;0;511552926#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.05;0;1;511552926#3;0;0;0.05;1;0.02;5.48;5.48;6.39;1.97;4.75;0.00
0.00;3600.00;measure_1;1;0.04;0;1;511552926#4;0;0;0.04;0;0.02;9.08;9.00;7.74;0.68;8.46;0.00
0.00;3600.00;measure_1;0;;0;0;511552926#6;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;511552926#7;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;511552926#8;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;511552928;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;511552929;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.04;0;1;511552930#0;0;0;0.04;1;0.02;13.94;13.94;6.76;1.95;12.95;0.00
0.00;3600.00;measure_1;0;;0;0;511552930#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;511552930#4;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;511552930#6;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;511552930#7;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;9.73;0;359;51193719#2;0;0;9.73;359;4.29;3.64;1305.17;11.63;176.09;3.21;0.00
0.00;3600.00;measure_1;0;9.94;2;359;51193719#4;0;0;9.94;359;4.56;5.59;2009.66;10.95;360.26;5.10;20.00
0.00;3600.00;measure_1;6;8.27;0;334;51193719#5;0;0;8.27;327;3.99;11.65;3888.22;11.64;599.89;11.26;0.00
0.00;3600.00;measure_1;0;26.03;0;64;51193721#2;0;0;26.03;64;0.50;0.29;18.74;17.76;2.10;0.01;0.00
0.00;3600.00;measure_1;0;11.36;0;68;51193721#3;0;0;11.36;64;5.60;21.14;1400.06;1.86;1278.86;20.75;1220.00
0.00;3600.00;measure_1;0;;0;0;513338824;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513338826;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513338827;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513338828;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513338829;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513338830;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;1;0.11;0;1;513338831;0;0;0.11;0;0.02;0.99;0.99;7.61;0.04;0.34;0.00
0.00;3600.00;measure_1;0;;0;0;513338832;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513338833;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;513338834;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;1;0.15;1;2;513705576#0;0;0;0.15;2;0.07;3.62;9.92;6.29;2.95;2.94;0.00
